Visit_ID,Tourist_Origin,Destination _City,Destination_Type,Visitor_Type,Season,Visit_Date,Visitors_Count,Average_Rating,Revenue_USD,Average_Spending
VIS1,France,Dubai,Hill Station,Domestic,Monsoon,8/17/2021,214,3.98,48713.71,227.6341589
VIS2,France,Kuala Lumpur,Wildlife,Domestic,Monsoon,3/7/2021,254,3.86,11743.61,46.23468504
VIS3,Dubai,India,City Tourism,International,Summer,3/28/2022,3689,4.41,682444.31,184.9943914
VIS4,Malaysia,Rome,Wildlife,International,Winter,7/29/2021,769,4.93,97185.95,126.3796489
VIS5,Malaysia,Singapore,Hill Station,Domestic,Winter,2/15/2023,655,4.96,114344.25,174.571374
VIS6,Indonesia,Rome,Hill Station,International,Summer,4/22/2022,837,4.84,105826.38,126.4353405
VIS7,Singapore,Kerala,Adventure,International,Summer,5/27/2021,5000,3.89,988969.6,197.79392
VIS8,India,Rome,Adventure,International,Winter,10/27/2022,468,4.69,39374.46,84.13346154
VIS9,Singapore,Bali,Hill Station,International,Winter,10/7/2022,1751,3.16,356368.47,203.522827
VIS10,Singapore,Rome,Hill Station,Domestic,Monsoon,4/12/2024,3519,4.65,955022.84,271.3904064
VIS11,Singapore,Singapore,Beach,International,Summer,11/10/2021,1320,3.13,319152.53,241.7822197
VIS12,Thailand,Kuala Lumpur,Heritage,International,Winter,2/8/2024,104,2.51,21889.85,210.4793269
VIS13,Thailand,Paris,City Tourism,Domestic,Winter,6/24/2022,4110,4.88,959066.1,233.3494161
VIS14,Indonesia,Kochi,Beach,International,Summer,12/23/2023,14,3.92,2627.86,187.7042857
VIS15,Thailand,Kuala Lumpur,Hill Station,Domestic,Monsoon,6/11/2021,711,3.16,159928.16,224.934121
VIS16,France,Paris,Adventure,International,Summer,5/17/2023,1745,3.12,488767.13,280.0957765
VIS17,France,Singapore,Hill Station,Domestic,Winter,5/12/2021,2779,2.67,71947.18,25.88959338
VIS18,France,Paris,City Tourism,International,,3/6/2021,2716,4.71,108205.6,39.84005891
VIS19,Indonesia,Bangkok,Hill Station,Domestic,Winter,3/26/2024,3882,3.53,341768.28,88.0392272
VIS20,Malaysia,Munnar,Hill Station,Domestic,Winter,4/21/2021,816,2.96,30168.78,36.97154412
VIS21,Thailand,Bali,Wildlife,Domestic,Winter,8/6/2023,2056,2.54,544544.07,264.8560652
VIS22,Indonesia,Bali,Hill Station,International,Winter,7/11/2021,,3.48,129539.6,0
VIS23,Indonesia,Alappuzha,Hill Station,International,Winter,7/21/2023,2346,3.86,324785.16,138.4420972
VIS24,Indonesia,Kuala Lumpur,Wildlife,Domestic,Winter,10/5/2022,478,2.96,16271.05,34.03985356
VIS25,France,Singapore,Wildlife,Domestic,Monsoon,5/20/2021,1936,3.91,257598.65,133.0571539
VIS26,Malaysia,Dubai,Heritage,International,Winter,10/10/2022,2146,3.29,165655.27,77.19257689
VIS27,Thailand,Munnar,Wildlife,Domestic,Monsoon,5/29/2021,86,4.7,12755.52,148.32
